customer_id,first_name,last_name,phone,email,street,city,state,zip_code,extract_date,source
59,Latasha,Stanley,not-available,latasha.stanley@gmail.com,8068 Fordham Drive ,Rockville Centre,NY,11570,2024-04-28 18:21:26.181409,datalake
60,Neil,Mccall,not-available,neil.mccall@gmail.com,7476 Oakland Dr. ,San Carlos,CA,94070,2024-04-28 18:21:26.181409,datalake
61,Elinore,Aguilar,not-available,elinore.aguilar@msn.com,9766 Rockcrest Ave. ,San Angelo,TX,76901,2024-04-28 18:21:26.181409,datalake
62,Alica,Hunter,not-available,alica.hunter@hotmail.com,8 San Juan Drive ,East Elmhurst,NY,11369,2024-04-28 18:21:26.181409,datalake
63,Tenisha,Lyons,not-available,tenisha.lyons@aol.com,78 E. Rock Creek Street ,Amityville,NY,11701,2024-04-28 18:21:26.181409,datalake
64,Bobbie,Foster,not-available,bobbie.foster@yahoo.com,988 Pineknoll Ave. ,Desoto,TX,75115,2024-04-28 18:21:26.181409,datalake
65,Kanesha,Vega,not-available,kanesha.vega@gmail.com,771 E. Oxford Drive ,Rome,NY,13440,2024-04-28 18:21:26.181409,datalake
66,Lorrie,Becker,not-available,lorrie.becker@yahoo.com,19 North Court ,Garland,TX,75043,2024-04-28 18:21:26.181409,datalake
67,Tommie,Melton,(916) 802-2952,tommie.melton@gmail.com,8 West Old York St. ,Sacramento,CA,95820,2024-04-28 18:21:26.181409,datalake
68,Jayne,Kirkland,not-available,jayne.kirkland@hotmail.com,7800 Second Lane ,Rowlett,TX,75088,2024-04-28 18:21:26.181409,datalake
69,Katelin,Kennedy,not-available,katelin.kennedy@gmail.com,286 Myrtle Lane ,Rocklin,CA,95677,2024-04-28 18:21:26.181409,datalake
70,Tomasa,Carson,not-available,tomasa.carson@aol.com,10 Clark Avenue ,East Elmhurst,NY,11369,2024-04-28 18:21:26.181409,datalake
71,Takako,Casey,not-available,takako.casey@aol.com,7548 Court Lane ,Bronx,NY,10451,2024-04-28 18:21:26.181409,datalake
72,Petronila,Norris,not-available,petronila.norris@aol.com,72 South Marshall Lane ,South El Monte,CA,91733,2024-04-28 18:21:26.181409,datalake
73,Melanie,Hayes,not-available,melanie.hayes@msn.com,5 N. Hall Dr. ,Liverpool,NY,13090,2024-04-28 18:21:26.181409,datalake
74,Georgeann,Waller,not-available,georgeann.waller@yahoo.com,9797 Bald Hill Ave. ,North Tonawanda,NY,14120,2024-04-28 18:21:26.181409,datalake
75,Abby,Gamble,not-available,abby.gamble@aol.com,60 Myers Dr. ,Amityville,NY,11701,2024-04-28 18:21:26.181409,datalake
76,Parker,Prince,not-available,parker.prince@hotmail.com,21 Sulphur Springs Drive ,Port Jefferson Station,NY,11776,2024-04-28 18:21:26.181409,datalake
77,Keri,Bridges,not-available,keri.bridges@gmail.com,8504 Brickell Ave. ,Richardson,TX,75080,2024-04-28 18:21:26.181409,datalake
78,Chi,Goff,not-available,chi.goff@aol.com,3 W. Glen Ridge Avenue ,Palos Verdes Peninsula,CA,90274,2024-04-28 18:21:26.181409,datalake
79,Ashanti,Parks,not-available,ashanti.parks@hotmail.com,846 N. Helen St. ,Baldwin,NY,11510,2024-04-28 18:21:26.181409,datalake
80,Sarai,Mckee,(716) 912-8110,sarai.mckee@msn.com,641 Glenwood Avenue ,Buffalo,NY,14215,2024-04-28 18:21:26.181409,datalake
81,Zina,Bonner,not-available,zina.bonner@hotmail.com,9312 8th Street ,San Lorenzo,CA,94580,2024-04-28 18:21:26.181409,datalake
82,Lizzie,Joyner,not-available,lizzie.joyner@msn.com,8541 Roberts St. ,Coachella,CA,92236,2024-04-28 18:21:26.181409,datalake
83,Tiesha,Daniel,not-available,tiesha.daniel@yahoo.com,6 West Bohemia Lane ,Scarsdale,NY,10583,2024-04-28 18:21:26.181409,datalake
84,Armand,Whitehead,not-available,armand.whitehead@hotmail.com,639 Harvey St. ,Lindenhurst,NY,11757,2024-04-28 18:21:26.181409,datalake
85,Teofila,Fischer,not-available,teofila.fischer@aol.com,1 West Brickyard St. ,Huntington Station,NY,11746,2024-04-28 18:21:26.181409,datalake
86,Lissa,Vargas,not-available,lissa.vargas@yahoo.com,517 Victoria Ave. ,Oswego,NY,13126,2024-04-28 18:21:26.181409,datalake
87,Yan,Mcgowan,not-available,yan.mcgowan@msn.com,8960 Newport Ave. ,Duarte,CA,91010,2024-04-28 18:21:26.181409,datalake
88,Titus,Bullock,not-available,titus.bullock@gmail.com,29 Oxford Avenue ,Hollis,NY,11423,2024-04-28 18:21:26.181409,datalake
89,Arvilla,Osborn,not-available,arvilla.osborn@gmail.com,60 Acacia Lane ,Upland,CA,91784,2024-04-28 18:21:26.181409,datalake
90,Marjorie,Logan,not-available,marjorie.logan@msn.com,95 Grandrose St. ,Franklin Square,NY,11010,2024-04-28 18:21:26.181409,datalake
91,Marvin,Mullins,(619) 635-2027,marvin.mullins@aol.com,7489 Redwood Drive ,San Diego,CA,92111,2024-04-28 18:21:26.181409,datalake
92,Tena,Cruz,not-available,tena.cruz@yahoo.com,1 South St. ,Farmingdale,NY,11735,2024-04-28 18:21:26.181409,datalake
93,Corrina,Sawyer,(248) 370-1364,corrina.sawyer@yahoo.com,95 Briarwood Lane ,Troy,NY,12180,2024-04-28 18:21:26.181409,datalake
94,Sharyn,Hopkins,not-available,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,2024-04-28 18:21:26.181409,datalake
95,Letitia,Franco,not-available,letitia.franco@aol.com,607 Lakeview Drive ,Saratoga Springs,NY,12866,2024-04-28 18:21:26.181409,datalake
96,Floretta,Higgins,not-available,floretta.higgins@hotmail.com,870 Lilac Dr. ,Bayside,NY,11361,2024-04-28 18:21:26.181409,datalake
97,Louanne,Martin,not-available,louanne.martin@hotmail.com,1 Campfire Ave. ,Yuba City,CA,95993,2024-04-28 18:21:26.181409,datalake
98,Violet,Valenzuela,not-available,violet.valenzuela@msn.com,8668 Piper Street ,Plattsburgh,NY,12901,2024-04-28 18:21:26.181409,datalake
99,Carie,Kidd,not-available,carie.kidd@yahoo.com,6 East Clinton Street ,Monroe,NY,10950,2024-04-28 18:21:26.181409,datalake
100,Kellie,Franco,not-available,kellie.franco@yahoo.com,444 South Walnut Rd. ,Commack,NY,11725,2024-04-28 18:21:26.181409,datalake
101,Nichelle,Howell,not-available,nichelle.howell@aol.com,7670 Forest St. ,Scarsdale,NY,10583,2024-04-28 18:21:26.181409,datalake
102,Marisol,Goodman,not-available,marisol.goodman@gmail.com,864 East Cherry St. ,Canandaigua,NY,14424,2024-04-28 18:21:26.181409,datalake
103,Sylvie,Wilkerson,not-available,sylvie.wilkerson@yahoo.com,750 Central Ave. ,Syosset,NY,11791,2024-04-28 18:21:26.181409,datalake
104,Katharina,Bates,not-available,katharina.bates@gmail.com,54 South Greenview Drive ,Campbell,CA,95008,2024-04-28 18:21:26.181409,datalake
105,Marget,Hodge,not-available,marget.hodge@msn.com,7199 Selby Lane ,Woodhaven,NY,11421,2024-04-28 18:21:26.181409,datalake
106,Raul,Melendez,not-available,raul.melendez@hotmail.com,9772 Manhattan St. ,Elmhurst,NY,11373,2024-04-28 18:21:26.181409,datalake
107,Cecil,Hopper,not-available,cecil.hopper@yahoo.com,471 Glenlake Ave. ,Central Islip,NY,11722,2024-04-28 18:21:26.181409,datalake
108,Shae,Hickman,not-available,shae.hickman@hotmail.com,740 Pin Oak Street ,Floral Park,NY,11001,2024-04-28 18:21:26.181409,datalake
109,Monica,Sears,(408) 704-8863,monica.sears@aol.com,57 Glenholme St. ,San Jose,CA,95127,2024-04-28 18:21:26.181409,datalake
110,Ollie,Zimmerman,(657) 648-2863,ollie.zimmerman@yahoo.com,69 Wood Rd. ,Anaheim,CA,92806,2024-04-28 18:21:26.181409,datalake
111,Shila,White,not-available,shila.white@msn.com,94 Lakeshore Street ,Orchard Park,NY,14127,2024-04-28 18:21:26.181409,datalake
112,Yuk,Vega,not-available,yuk.vega@yahoo.com,413 Wood St. ,West Hempstead,NY,11552,2024-04-28 18:21:26.181409,datalake
113,Eliana,Silva,not-available,eliana.silva@gmail.com,7119 Summer Rd. ,Farmingdale,NY,11735,2024-04-28 18:21:26.181409,datalake
114,Thalia,Horne,not-available,thalia.horne@yahoo.com,9312 Harvard Street ,Amityville,NY,11701,2024-04-28 18:21:26.181409,datalake
115,Rey,Lindsay,not-available,rey.lindsay@gmail.com,16 Philmont St. ,Monroe,NY,10950,2024-04-28 18:21:26.181409,datalake
116,Merlene,Vinson,not-available,merlene.vinson@gmail.com,431 Vine Dr. ,Euless,TX,76039,2024-04-28 18:21:26.181409,datalake
117,Dacia,William,not-available,dacia.william@msn.com,62 Cypress Drive ,Sugar Land,TX,77478,2024-04-28 18:21:26.181409,datalake
118,Le,Wood,not-available,le.wood@yahoo.com,90 Primrose Dr. ,Pittsford,NY,14534,2024-04-28 18:21:26.181409,datalake
119,Thalia,Dillard,not-available,thalia.dillard@yahoo.com,987 NE. Gates Street ,San Angelo,TX,76901,2024-04-28 18:21:26.181409,datalake
120,Luz,House,(559) 114-2580,luz.house@gmail.com,491 Railroad Street ,Fresno,CA,93706,2024-04-28 18:21:26.181409,datalake
121,Lucy,Woods,not-available,lucy.woods@gmail.com,8437 West Rockaway St. ,Palos Verdes Peninsula,CA,90274,2024-04-28 18:21:26.181409,datalake
122,Shena,Carter,not-available,shena.carter@yahoo.com,72 University Road ,Howard Beach,NY,11414,2024-04-28 18:21:26.181409,datalake
123,Robena,Hill,(361) 598-4414,robena.hill@hotmail.com,263 Cross St. ,Corpus Christi,TX,78418,2024-04-28 18:21:26.181409,datalake
124,Jeni,Booker,not-available,jeni.booker@gmail.com,546 Railroad Dr. ,South El Monte,CA,91733,2024-04-28 18:21:26.181409,datalake
125,Herlinda,Stone,not-available,herlinda.stone@msn.com,725 Gulf St. ,Canandaigua,NY,14424,2024-04-28 18:21:26.181409,datalake
126,Lavina,Dejesus,not-available,lavina.dejesus@msn.com,59 E. Valley Avenue ,Newburgh,NY,12550,2024-04-28 18:21:26.181409,datalake
127,Erlinda,Nielsen,not-available,erlinda.nielsen@aol.com,728 Oxford Lane ,Maspeth,NY,11378,2024-04-28 18:21:26.181409,datalake
128,Terrance,Lynn,not-available,terrance.lynn@yahoo.com,91 East Buckingham Drive ,Plattsburgh,NY,12901,2024-04-28 18:21:26.181409,datalake
129,Walton,Dejesus,not-available,walton.dejesus@yahoo.com,15 Washington Rd. ,Lockport,NY,14094,2024-04-28 18:21:26.181409,datalake
130,Wes,Stanton,(248) 247-5074,wes.stanton@msn.com,8662 Tunnel Street ,Troy,NY,12180,2024-04-28 18:21:26.181409,datalake
131,Tanesha,Hampton,not-available,tanesha.hampton@hotmail.com,19 Belmont Ave. ,Syosset,NY,11791,2024-04-28 18:21:26.181409,datalake
132,Boyd,Irwin,not-available,boyd.irwin@hotmail.com,221 Whitemarsh St. ,Hamburg,NY,14075,2024-04-28 18:21:26.181409,datalake
133,Delbert,Wilkins,not-available,delbert.wilkins@aol.com,420 Greenview St. ,Coram,NY,11727,2024-04-28 18:21:26.181409,datalake
134,Brianna,Moss,(516) 156-8031,brianna.moss@msn.com,4 Longfellow St. ,Hempstead,NY,11550,2024-04-28 18:21:26.181409,datalake
135,Dorthey,Jackson,(281) 926-8010,dorthey.jackson@msn.com,9768 Brookside St. ,Houston,TX,77016,2024-04-28 18:21:26.181409,datalake
136,Sarita,Parks,not-available,sarita.parks@msn.com,7809 Second Lane ,Forney,TX,75126,2024-04-28 18:21:26.181409,datalake
137,Shonta,Mercer,not-available,shonta.mercer@aol.com,319 NE. La Sierra Avenue ,Massapequa,NY,11758,2024-04-28 18:21:26.181409,datalake
138,Jone,Bernard,(657) 536-5165,jone.bernard@hotmail.com,99 Longbranch Court ,Anaheim,CA,92806,2024-04-28 18:21:26.181409,datalake
139,Wanita,Davenport,not-available,wanita.davenport@aol.com,525 Dogwood Ave. ,Spring Valley,NY,10977,2024-04-28 18:21:26.181409,datalake
140,Cleopatra,Tate,not-available,cleopatra.tate@aol.com,97 N. Glenwood St. ,East Elmhurst,NY,11369,2024-04-28 18:21:26.181409,datalake
141,Ramiro,Byers,not-available,ramiro.byers@gmail.com,16 Pleasant St. ,Saint Albans,NY,11412,2024-04-28 18:21:26.181409,datalake
142,Nicholas,Vazquez,not-available,nicholas.vazquez@hotmail.com,9 Roosevelt Street ,West Hempstead,NY,11552,2024-04-28 18:21:26.181409,datalake
143,Janae,Doyle,not-available,janae.doyle@gmail.com,760 Rose Ave. ,Jackson Heights,NY,11372,2024-04-28 18:21:26.181409,datalake
144,Hans,Price,not-available,hans.price@hotmail.com,51 Glendale Road ,Port Chester,NY,10573,2024-04-28 18:21:26.181409,datalake
145,Miquel,Neal,not-available,miquel.neal@hotmail.com,9564 Deerfield Lane ,Staten Island,NY,10301,2024-04-28 18:21:26.181409,datalake
146,Stefany,Potter,not-available,stefany.potter@gmail.com,256 South Academy St. ,Saratoga Springs,NY,12866,2024-04-28 18:21:26.181409,datalake
147,Bernetta,Marquez,not-available,bernetta.marquez@hotmail.com,626 E. Dunbar Street ,Smithtown,NY,11787,2024-04-28 18:21:26.181409,datalake
148,Julee,Woodard,not-available,julee.woodard@yahoo.com,869 Summerhouse Dr. ,Richmond Hill,NY,11418,2024-04-28 18:21:26.181409,datalake
149,Meredith,Bryan,not-available,meredith.bryan@hotmail.com,8935 E. Oxford St. ,Spring Valley,NY,10977,2024-04-28 18:21:26.181409,datalake
150,Weldon,Michael,not-available,weldon.michael@hotmail.com,9952 Nut Swamp St. ,Huntington,NY,11743,2024-04-28 18:21:26.181409,datalake
151,Joesph,Delacruz,not-available,joesph.delacruz@aol.com,184 Cypress Street ,Atwater,CA,95301,2024-04-28 18:21:26.181409,datalake
152,Katherina,Odom,not-available,katherina.odom@yahoo.com,897 N. Oak Drive ,Plainview,NY,11803,2024-04-28 18:21:26.181409,datalake
153,Laraine,Robbins,not-available,laraine.robbins@yahoo.com,8214 E. Pin Oak Lane ,San Angelo,TX,76901,2024-04-28 18:21:26.181409,datalake
154,Jenise,Preston,not-available,jenise.preston@yahoo.com,9 Littleton Drive ,Helotes,TX,78023,2024-04-28 18:21:26.181409,datalake
155,Lory,Page,not-available,lory.page@hotmail.com,58 Summerhouse Street ,Bay Shore,NY,11706,2024-04-28 18:21:26.181409,datalake
156,Charlyn,Cantrell,not-available,charlyn.cantrell@yahoo.com,8756 Euclid St. ,West Islip,NY,11795,2024-04-28 18:21:26.181409,datalake
157,Carola,Rodriquez,not-available,carola.rodriquez@hotmail.com,9433 Heritage Lane ,Banning,CA,92220,2024-04-28 18:21:26.181409,datalake
158,Alane,Kennedy,not-available,alane.kennedy@yahoo.com,34 Green Lake Street ,Spring Valley,NY,10977,2024-04-28 18:21:26.181409,datalake
159,Regina,Burns,not-available,regina.burns@aol.com,713 Buckingham St. ,Garland,TX,75043,2024-04-28 18:21:26.181409,datalake
160,Omer,Estrada,not-available,omer.estrada@gmail.com,9 Honey Creek Street ,Rowlett,TX,75088,2024-04-28 18:21:26.181409,datalake
161,Crystle,Gilliam,not-available,crystle.gilliam@yahoo.com,86 Edgewater Road ,Smithtown,NY,11787,2024-04-28 18:21:26.181409,datalake
162,Kam,Wilder,not-available,kam.wilder@hotmail.com,500 West Clay Ave. ,Newburgh,NY,12550,2024-04-28 18:21:26.181409,datalake
163,Margert,Stevens,not-available,margert.stevens@aol.com,502 North Poplar St. ,Rome,NY,13440,2024-04-28 18:21:26.181409,datalake
164,Tomika,Larson,not-available,tomika.larson@yahoo.com,254 Canal St. ,Woodside,NY,11377,2024-04-28 18:21:26.181409,datalake
165,Jeromy,Burch,(408) 955-8238,jeromy.burch@msn.com,889 Mulberry Street ,San Jose,CA,95127,2024-04-28 18:21:26.181409,datalake
166,Lena,Mills,not-available,lena.mills@yahoo.com,42 Homestead St. ,Woodhaven,NY,11421,2024-04-28 18:21:26.181409,datalake
167,Loreta,Johnston,not-available,loreta.johnston@yahoo.com,39 Lafayette Dr. ,Spring Valley,NY,10977,2024-04-28 18:21:26.181409,datalake
168,Nettie,Mcdaniel,not-available,nettie.mcdaniel@hotmail.com,7004 E. Wakehurst St. ,South Ozone Park,NY,11420,2024-04-28 18:21:26.181409,datalake
169,Karla,Kirk,not-available,karla.kirk@yahoo.com,9718 Harvard Rd. ,Palos Verdes Peninsula,CA,90274,2024-04-28 18:21:26.181409,datalake
170,Regine,Gonzales,(805) 763-4045,regine.gonzales@gmail.com,798 Court Drive ,Oxnard,CA,93035,2024-04-28 18:21:26.181409,datalake
171,Miriam,Baker,not-available,miriam.baker@hotmail.com,90 Studebaker St. ,Uniondale,NY,11553,2024-04-28 18:21:26.181409,datalake
172,Jeanie,Kirkland,not-available,jeanie.kirkland@aol.com,7643 Old Theatre St. ,Santa Clara,CA,95050,2024-04-28 18:21:26.181409,datalake
173,Marquerite,Dawson,not-available,marquerite.dawson@gmail.com,37 Hamilton Court ,Garland,TX,75043,2024-04-28 18:21:26.181409,datalake
174,Babara,Ochoa,not-available,babara.ochoa@aol.com,872 Smith Store St. ,Scarsdale,NY,10583,2024-04-28 18:21:26.181409,datalake
175,Nova,Hess,not-available,nova.hess@msn.com,773 South Lafayette St. ,Duarte,CA,91010,2024-04-28 18:21:26.181409,datalake
176,Carley,Reynolds,not-available,carley.reynolds@gmail.com,2 Snake Hill Drive ,South El Monte,CA,91733,2024-04-28 18:21:26.181409,datalake
177,Carissa,Foreman,not-available,carissa.foreman@msn.com,69C N. Ridge Rd. ,Maspeth,NY,11378,2024-04-28 18:21:26.181409,datalake
178,Genoveva,Tyler,(212) 152-6381,genoveva.tyler@gmail.com,8121 Windfall Ave. ,New York,NY,10002,2024-04-28 18:21:26.181409,datalake
179,Deane,Sears,not-available,deane.sears@hotmail.com,3 Bradford Court ,Pittsford,NY,14534,2024-04-28 18:21:26.181409,datalake
180,Karey,Steele,not-available,karey.steele@gmail.com,8879 Kent Lane ,Farmingdale,NY,11735,2024-04-28 18:21:26.181409,datalake
181,Olevia,Pitts,not-available,olevia.pitts@gmail.com,39 Fieldstone Drive ,Redondo Beach,CA,90278,2024-04-28 18:21:26.181409,datalake
182,Jenniffer,Bullock,not-available,jenniffer.bullock@msn.com,38 Oxford Avenue ,Bay Shore,NY,11706,2024-04-28 18:21:26.181409,datalake
183,Jeniffer,Ratliff,not-available,jeniffer.ratliff@gmail.com,510 Rocky River Court ,Floral Park,NY,11001,2024-04-28 18:21:26.181409,datalake
184,Klara,Stanley,not-available,klara.stanley@aol.com,603 Mechanic St. ,Webster,NY,14580,2024-04-28 18:21:26.181409,datalake
185,Morton,Lee,not-available,morton.lee@yahoo.com,313 Ridge St. ,San Angelo,TX,76901,2024-04-28 18:21:26.181409,datalake
186,Ken,Charles,not-available,ken.charles@msn.com,9124 W. Piper Lane ,Monsey,NY,10952,2024-04-28 18:21:26.181409,datalake
187,Hedwig,Paul,not-available,hedwig.paul@msn.com,422 Manor Ave. ,Apple Valley,CA,92307,2024-04-28 18:21:26.181409,datalake
188,Sharla,Flynn,(805) 478-7724,sharla.flynn@hotmail.com,7 Brown Drive ,Oxnard,CA,93035,2024-04-28 18:21:26.181409,datalake
